Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,1u,
J1,DIP-8_W7.62mm,1,Breadboard_connector,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Program,
J3,PinHeader_1x02_P2.54mm_Vertical,1,+5V,
"J4_2, J4",PinHeader_1x03_P2.54mm_Vertical,2,WS2812,
"R1, R2, R3, R4",0805,4,100R,
U1,SOP-8_3.9x4.9mm_P1.27mm,1,CH32V003,
